Parent Path,Name,Href,OtherTOC,URL
,Azure AI Foundry Agent Service Documentation,index.yml,false,https://learn.microsoft.com/azure/ai-services/agents/index
Overview,What is Foundry Agent Service?,overview.md,false,https://learn.microsoft.com/azure/ai-services/agents/overview
Overview,What's new,./whats-new.md,false,https://learn.microsoft.com/azure/ai-services/agents/./whats-new
Overview,FAQ,faq.yml,false,https://learn.microsoft.com/azure/ai-services/agents/faq
Getting started,Environment setup,./environment-setup.md,false,https://learn.microsoft.com/azure/ai-services/agents/./environment-setup
Getting started,Quickstart,quickstart.md,false,https://learn.microsoft.com/azure/ai-services/agents/quickstart
Getting started,Quotas and limits,quotas-limits.md,false,https://learn.microsoft.com/azure/ai-services/agents/quotas-limits
Getting started,Model and region support,./concepts/model-region-support.md,false,https://learn.microsoft.com/azure/ai-services/agents/./concepts/model-region-support
Getting started,Pricing,https://azure.microsoft.com/pricing/details/ai-foundry/,false,https://learn.microsoft.com/azure/ai-services/agents/https://azure.microsoft.com/pricing/details/ai-foundry/
Concepts,"Threads, runs, and messages",concepts/threads-runs-messages.md,false,https://learn.microsoft.com/azure/ai-services/agents/concepts/threads-runs-messages
Concepts,Standard agent setup,concepts/standard-agent-setup.md,false,https://learn.microsoft.com/azure/ai-services/agents/concepts/standard-agent-setup
Concepts > Tools,Tool Overview,how-to/tools/overview.md,false,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/overview
Concepts > Tools > Grounding with Bing Search,Overview,how-to/tools/bing-grounding.md,false,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/bing-grounding
Concepts > Tools > Grounding with Bing Search,How to use Grounding with Bing Search,how-to/tools/bing-code-samples.md,false,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/bing-code-samples
Concepts > Tools > Use Grounding with Bing Custom Search,Overview,how-to/tools/bing-custom-search.md,false,https://learn.microsoft.com/azure/ai-services/agents/how-to/tools/bing-custom-search
