Parent Path,Name,Href,URL,Is External,ms.author,ms.topic,description,pivot,pivot_groups,hub-only,file_found,has_tabs,tab_count,tab_formats,has_images,image_count,image_formats,portal_steps
,What is Azure AI Foundry?,ai-foundry/what-is-azure-ai-foundry.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/what-is-azure-ai-foundry.md,False,sgilley,overview,"Azure AI Foundry is a trusted platform that empowers developers to drive innovation and shape the future with AI in a safe, secure, and responsible way.",,,False,True,False,0,,True,4,"content, .png, content, content, content",False
Get started,Quickstart,ai-foundry/quickstarts/get-started-code.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/quickstarts/get-started-code.md,False,sgilley,how-to,This article provides instructions on how to start using the Azure AI Foundry portal and the Azure AI Foundry SDK.,project-type,"fdp-project, hub-project",False,True,False,0,,True,2,"content, .png, content",True
Get started,Azure AI Foundry client libraries,ai-foundry/how-to/develop/sdk-overview.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/develop/sdk-overview.md,False,sgilley,how-to,This article provides an overview of the Azure AI Foundry SDK and how to get started using it.,foundry-sdk-overview-languages,"programming-language-csharp, programming-language-java, programming-language-javascript, programming-language-python",False,True,False,0,,False,0,,False
Get started,Ask the Foundry agent,ai-foundry/foundry-agent/ask-foundry-agent.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-agent/ask-foundry-agent.md,False,jeomhove,concept-article,"Learn how to ask the Foundry agent for help, getting your questions answered based on Azure AI Foundry documentation and model catalog.",,,False,True,False,0,,True,1,"content, .png",False
Models,Explore Foundry Models,ai-foundry/concepts/foundry-models-overview.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/concepts/foundry-models-overview.md,False,ssalgado,how-to,This article introduces Azure AI Foundry Models and the model catalog in Azure AI Foundry portal.,,,False,True,False,0,,True,5,"content, .png, content, content, content, content",False
Models,Models and capabilities,ai-foundry/foundry-models/concepts/models.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/concepts/models.md,False,mopeakande,how-to,Explore the available Azure AI Foundry Models and their capabilities.,,,False,True,False,0,,False,0,,False
Models,Model versions,ai-foundry/foundry-models/concepts/model-versions.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/concepts/model-versions.md,False,mopeakande,concept-article,Learn about model versions in Foundry Models.,,,False,True,False,0,,False,0,,False
Models,Model lifecycle and retirement,ai-foundry/concepts/model-lifecycle-retirement.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/concepts/model-lifecycle-retirement.md,False,mopeakande,concept-article,"Learn about the lifecycle stages, deprecation, and retirement for Azure AI Foundry Models.",,,False,True,False,0,,False,0,,False
Models,"Data, privacy, and security for Model Catalog",ai-foundry/how-to/concept-data-privacy.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/how-to/concept-data-privacy.md,False,ssalgado,concept-article,"Get details about how data that customers provide is processed, used, and stored when a user deploys a model from the model catalog.",,,False,True,False,0,,True,2,"content, .png, content",False
Models,Foundry Models quotas and limits,ai-foundry/foundry-models/quotas-limits.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/foundry-models/quotas-limits.md,False,mopeakande,concept-article,"Quick reference, detailed description, and best practices on the quotas and limits for the Azure AI Foundry service.",,,False,True,False,0,,False,0,,True
Models > Choose a model for your use case,Model leaderboards,ai-foundry/concepts/model-benchmarks.md,https://learn.microsoft.com/azure/ai-foundry/ai-foundry/concepts/model-benchmarks.md,False,lagayhar,concept-article,This article introduces benchmarking capabilities and model leaderboards (preview) in Azure AI Foundry portal.,,,False,True,False,0,,False,0,,False
