Parent Path,Name,Href,OtherTOC,URL
,What is Azure AI Foundry?,what-is-azure-ai-foundry.md,False,https://learn.microsoft.com/azure/ai-foundry//what-is-azure-ai-foundry
Get started,Quickstart,quickstarts/get-started-code.md,False,https://learn.microsoft.com/azure/ai-foundry//quickstarts/get-started-code
Get started,Azure AI Foundry client libraries,how-to/develop/sdk-overview.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/develop/sdk-overview
Get started,Ask the Foundry agent,foundry-agent/ask-foundry-agent.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-agent/ask-foundry-agent
Models,Explore Foundry Models,concepts/foundry-models-overview.md,False,https://learn.microsoft.com/azure/ai-foundry//concepts/foundry-models-overview
Models,Models and capabilities,foundry-models/concepts/models.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/concepts/models
Models,Model versions,foundry-models/concepts/model-versions.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/concepts/model-versions
Models,Model lifecycle and retirement,concepts/model-lifecycle-retirement.md,False,https://learn.microsoft.com/azure/ai-foundry//concepts/model-lifecycle-retirement
Models,"Data, privacy, and security for Model Catalog",how-to/concept-data-privacy.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/concept-data-privacy
Models,Foundry Models quotas and limits,foundry-models/quotas-limits.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/quotas-limits
Models > Choose a model for your use case,Model leaderboards,concepts/model-benchmarks.md,False,https://learn.microsoft.com/azure/ai-foundry//concepts/model-benchmarks
Models > Choose a model for your use case,Compare models in leaderboards,how-to/benchmark-model-in-catalog.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/benchmark-model-in-catalog
Models > Choose a model for your use case,Explore the model playgrounds,concepts/concept-playgrounds.md,False,https://learn.microsoft.com/azure/ai-foundry//concepts/concept-playgrounds
Models > Deploy Foundry Models,Deployment options in Azure AI Foundry portal,concepts/deployments-overview.md,False,https://learn.microsoft.com/azure/ai-foundry//concepts/deployments-overview
Models > Deploy Foundry Models,Deployment types,foundry-models/concepts/deployment-types.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/concepts/deployment-types
Models > Deploy Foundry Models,Configure Models from Partners and Community,foundry-models/how-to/configure-marketplace.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/configure-marketplace
Models > Deploy Foundry Models,Deploy Foundry Models,foundry-models/how-to/create-model-deployments.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/create-model-deployments
Models > Deploy Foundry Models,Upgrade from GitHub Models to Azure AI Foundry Models,foundry-models/how-to/quickstart-github-models.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/quickstart-github-models
Models > Deploy Foundry Models,Troubleshoot deployments and monitoring,how-to/troubleshoot-deploy-and-monitor.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/troubleshoot-deploy-and-monitor
Models > Develop with AI models,Endpoints for Foundry Models,foundry-models/concepts/endpoints.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/concepts/endpoints
Models > Develop with AI models,Use Foundry Models in code,foundry-models/how-to/inference.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/inference
Models > Develop with AI models,Supported programming languages and SDKs,../ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,True,https://learn.microsoft.com/azure/ai-services/openai/supported-languages?context=/azure/ai-foundry/context/context
Models > Develop with AI models,Azure AI Inference SDK,foundry-models/supported-languages.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/supported-languages
Models > Develop with AI models > Work with chat models,Work with chat completion models,foundry-models/how-to/use-chat-completions.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/use-chat-completions
Models > Develop with AI models > Work with chat models,Work with reasoning models,foundry-models/how-to/use-chat-reasoning.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/use-chat-reasoning
Models > Develop with AI models > Work with chat models,Work with multimodal models,foundry-models/how-to/use-chat-multi-modal.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/use-chat-multi-modal
Models > Develop with AI models > Work with chat models,Use structured outputs,foundry-models/how-to/use-structured-outputs.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/use-structured-outputs
Models > Develop with AI models > Work with embedding models,Work with text embeddings,foundry-models/how-to/use-embeddings.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/use-embeddings
Models > Develop with AI models > Work with embedding models,Work with image embeddings,foundry-models/how-to/use-image-embeddings.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/use-image-embeddings
Models > Develop with AI models,Work with image models,how-to/use-image-models.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/use-image-models
Models > Develop with AI models,Develop with LangChain and LangGraph,how-to/develop/langchain.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/develop/langchain
Models > Develop with AI models,Develop with Llama-Index,how-to/develop/llama-index.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/develop/llama-index
Models > Develop with AI models,Develop with Semantic Kernel,how-to/develop/semantic-kernel.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/develop/semantic-kernel
Models > Deployment in AI hub,Connect your AI hub to the Azure AI Foundry resource,foundry-models/how-to/configure-project-connection.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/configure-project-connection
Models > Deployment in AI hub > Managed compute endpoints,Deploy models via managed compute,how-to/deploy-models-managed.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/deploy-models-managed
Models > Deployment in AI hub > Managed compute endpoints,Deploy models to managed compute pay-as-you-go,how-to/deploy-models-managed-pay-go.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/deploy-models-managed-pay-go
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,Foundational AI models for healthcare,how-to/healthcare-ai/healthcare-ai-models.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/healthcare-ai/healthcare-ai-models
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,MedImageInsight model for embedding,how-to/healthcare-ai/deploy-medimageinsight.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/healthcare-ai/deploy-medimageinsight
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,CXRReportGen model for text generation,how-to/healthcare-ai/deploy-cxrreportgen.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/healthcare-ai/deploy-cxrreportgen
Models > Deployment in AI hub > Managed compute endpoints > Healthcare AI models,MedImageParse models for prompted segmentation,how-to/healthcare-ai/deploy-medimageparse.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/healthcare-ai/deploy-medimageparse
Models > Deployment in AI hub > Serverless API endpoints,Configure AI projects to work with Azure AI Foundry Models,foundry-models/how-to/quickstart-ai-project.md,False,https://learn.microsoft.com/azure/ai-foundry//foundry-models/how-to/quickstart-ai-project
Models > Deployment in AI hub > Serverless API endpoints,Deploy models via serverless API,how-to/deploy-models-serverless.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/deploy-models-serverless
Models > Deployment in AI hub > Serverless API endpoints,Consume models from a different project or hub,how-to/deploy-models-serverless-connect.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/deploy-models-serverless-connect
Models > Deployment in AI hub > Serverless API endpoints,Model region availability for serverless API,how-to/deploy-models-serverless-availability.md,False,https://learn.microsoft.com/azure/ai-foundry//how-to/deploy-models-serverless-availability
Models > Deployment in AI hub > Serverless API endpoints,Guardrails & controls for serverless API,concepts/model-catalog-content-safety.md,False,https://learn.microsoft.com/azure/ai-foundry//concepts/model-catalog-content-safety
Models > Deployment in AI hub > Serverless API endpoints,Inference examples for serverless deployments,concepts/models-inference-examples.md,False,https://learn.microsoft.com/azure/ai-foundry//concepts/models-inference-examples
Models > Azure OpenAI in Foundry Models,Azure OpenAI,./openai/overview.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/overview
Models > Azure OpenAI in Foundry Models,Quotas and limits,./openai/quotas-limits.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/quotas-limits
Models > Azure OpenAI in Foundry Models,Deployment types,./openai/how-to/deployment-types.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/how-to/deployment-types
Models > Azure OpenAI in Foundry Models,Azure OpenAI Models,./openai/concepts/models.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/models
Models > Azure OpenAI in Foundry Models,Model retirements,./openai/concepts/model-retirements.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/concepts/model-retirements
Models > Azure OpenAI in Foundry Models,What's new,./openai/whats-new.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/whats-new
Models > Azure OpenAI in Foundry Models,Programming languages/SDKs,./openai/supported-languages.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/supported-languages
Models > Azure OpenAI in Foundry Models,API lifecycle,./openai/api-version-lifecycle.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/api-version-lifecycle
Models > Azure OpenAI in Foundry Models,Azure OpenAI in Azure Government,./openai/azure-government.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/azure-government
Models > Azure OpenAI in Foundry Models > Quickstarts,Audio generation,./openai/audio-completions-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/audio-completions-quickstart
Models > Azure OpenAI in Foundry Models > Quickstarts,Chat,./openai/chatgpt-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/chatgpt-quickstart
Models > Azure OpenAI in Foundry Models > Quickstarts,Vision-enabled chats,./openai/gpt-v-quickstart.md,False,https://learn.microsoft.com/azure/ai-foundry//./openai/gpt-v-quickstart
