Parent Path,Name,Href,OtherTOC,URL
,What is Azure AI Foundry?,what-is-azure-ai-foundry.md,false,https://learn.microsoft.com/azure/ai-foundry/what-is-azure-ai-foundry
,Quickstart,quickstarts/get-started-code.md,false,https://learn.microsoft.com/azure/ai-foundry/quickstarts/get-started-code
,Azure AI Foundry client libraries,how-to/develop/sdk-overview.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/sdk-overview
,Ask the Foundry agent,foundry-agent/ask-foundry-agent.md,false,https://learn.microsoft.com/azure/ai-foundry/foundry-agent/ask-foundry-agent
,Explore Azure AI Foundry Models,concepts/foundry-models-overview.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/foundry-models-overview
,Configure Models from Partners and Community,model-inference/how-to/configure-marketplace.md?context=/azure/ai-foundry/context/context,false,https://learn.microsoft.com/azure/ai-foundry/model-inference/how-to/configure-marketplace?context=/azure/ai-foundry/context/context
,"Data, privacy, and security for Model Catalog",how-to/concept-data-privacy.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/concept-data-privacy
,Model lifecycle and retirement,concepts/model-lifecycle-retirement.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/model-lifecycle-retirement
,Model leaderboards,concepts/model-benchmarks.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/model-benchmarks
,Compare models in leaderboards,how-to/benchmark-model-in-catalog.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/benchmark-model-in-catalog
,Explore the model playgrounds,concepts/concept-playgrounds.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/concept-playgrounds
,Deployment options in Azure AI Foundry portal,concepts/deployments-overview.md,false,https://learn.microsoft.com/azure/ai-foundry/concepts/deployments-overview
,Supported programming languages and SDKs,../ai-services/openai/supported-languages.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/supported-languages?context=/azure/ai-foundry/context/context
,Foundry Models quotas and limits,../ai-foundry/model-inference/quotas-limits.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/quotas-limits?context=/azure/ai-foundry/context/context
,Deployment types,../ai-foundry/model-inference/concepts/deployment-types.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/concepts/deployment-types?context=/azure/ai-foundry/context/context
,Supported Foundry Models,../ai-foundry/model-inference/concepts/models.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/concepts/models?context=/azure/ai-foundry/context/context
,Deploy Foundry Models,../ai-foundry/model-inference/how-to/create-model-deployments.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/create-model-deployments?context=/azure/ai-foundry/context/context
,Use the Foundry Models endpoint,../ai-foundry/model-inference/how-to/inference.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/inference?context=/azure/ai-foundry/context/context
,Work with image models,how-to/use-image-models.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/use-image-models
,Work with chat completion models,../ai-foundry/model-inference/how-to/use-chat-completions.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/use-chat-completions?context=/azure/ai-foundry/context/context
,Work with reasoning models,../ai-foundry/model-inference/how-to/use-chat-reasoning.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/use-chat-reasoning?context=/azure/ai-foundry/context/context
,Work with multimodal models,../ai-foundry/model-inference/how-to/use-chat-multi-modal.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/use-chat-multi-modal?context=/azure/ai-foundry/context/context
,Use structured outputs,../ai-foundry/model-inference/how-to/use-structured-outputs.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/use-structured-outputs?context=/azure/ai-foundry/context/context
,Work with text embeddings,../ai-foundry/model-inference/how-to/use-embeddings.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/use-embeddings?context=/azure/ai-foundry/context/context
,Work with image embeddings,../ai-foundry/model-inference/how-to/use-image-embeddings.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-foundry/model-inference/how-to/use-image-embeddings?context=/azure/ai-foundry/context/context
,Develop with LangChain and LangGraph,how-to/develop/langchain.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/langchain
,Develop with Llama-Index,how-to/develop/llama-index.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/llama-index
,Develop with Semantic Kernel,how-to/develop/semantic-kernel.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/develop/semantic-kernel
,Use Azure OpenAI in Azure AI Foundry portal,ai-services/how-to/connect-azure-openai.md?context=/azure/ai-foundry/context/context,false,https://learn.microsoft.com/azure/ai-foundry/ai-services/how-to/connect-azure-openai?context=/azure/ai-foundry/context/context
,Supported Azure OpenAI models,../ai-services/openai/concepts/models.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/concepts/models?context=/azure/ai-foundry/context/context
,Azure OpenAI deployment types,../ai-services/openai/how-to/deployment-types.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/deployment-types?context=/azure/ai-foundry/context/context
,Deploy Azure OpenAI models,how-to/deploy-models-openai.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/deploy-models-openai
,Troubleshoot deployments and monitoring,how-to/troubleshoot-deploy-and-monitor.md,false,https://learn.microsoft.com/azure/ai-foundry/how-to/troubleshoot-deploy-and-monitor
,Model region availability for Azure OpenAI in Foundry Models,../ai-services/openai/concepts/models.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/concepts/models?context=/azure/ai-foundry/context/context
,Azure OpenAI quotas and limits,../ai-services/openai/quotas-limits.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/quotas-limits?context=/azure/ai-foundry/context/context
,Batch,../ai-services/openai/how-to/batch.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/batch?context=/azure/ai-foundry/context/context
,Reasoning models,../ai-services/openai/how-to/reasoning.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/reasoning?context=/azure/ai-foundry/context/context
,Responses API,../ai-services/openai/how-to/responses.md?context=/azure/ai-foundry/context/context,true,https://learn.microsoft.com/ai-services/openai/how-to/responses?context=/azure/ai-foundry/context/context
